event,event_label,event_type,event_date,analysis_note,num_comments,x_coherence,x_weighted_coherence,comments_within_24h,share_within_24h,wsj_coherence,official_coherence,x_risk,wsj_risk,official_risk,x_uncertainty,wsj_uncertainty,official_uncertainty,similarity_wsj,similarity_official,similarity_wsj_ci_low,similarity_wsj_ci_high,similarity_official_ci_low,similarity_official_ci_high,alignment_delta_wsj_minus_official,gap_wsj,gap_official,risk_gap_wsj,uncertainty_gap_wsj,risk_gap_official,uncertainty_gap_official,wsj_segments_count,official_segments_count,stat_p_value,stat_winner,lm_x_tone,lm_wsj_tone,lm_official_tone,lm_tone_gap_wsj,lm_tone_gap_official,lm_x_modal_strength,lm_wsj_modal_strength,lm_official_modal_strength,lm_x_negative_density,lm_x_positive_density,lm_x_uncertainty_density,lm_x_litigious_density,lm_x_constraining_density,wsj_convergence,official_convergence,narrative_halflife,wsj_peak_lag,wsj_peak_corr,wsj_leadlag_significant,x_fragmentation,x_num_topics,wsj_fragmentation,wsj_num_topics,llm_n_extracted,llm_blame_dominant,llm_causal_dominant,llm_stance_dominant,llm_emotion_dominant,llm_frame_dominant,llm_models_used,llm_model_count,llm_agreement_overall_pairwise_kappa_mean,llm_agreement_policy_stance_pairwise_kappa,llm_agreement_emotional_register_pairwise_kappa,llm_agreement_narrative_frame_pairwise_kappa,x_risk_words,x_unc_words,wsj_risk_words,wsj_unc_words,official_risk_words,official_unc_words
fomc_hike_crisis_mar23,Hike into Crisis,Conflict,2023-03-22 00:00:00+00:00,Rate hike during bank panic; conflict between policy and fear narratives.,518,0.6150297852712522,0.6643908468955073,324,0.6254826254826255,0.5806034199039444,0.6098186101107936,0.0031685678073510772,0.02037201062887511,0.014970059880239521,0.006416349809885932,0.008857395925597875,0.0,0.4039929752802245,0.3811226092886867,0.3956204370568234,0.4121750950164185,0.37284657022567685,0.3893420867299122,0.0228703659915378,0.5960070247197755,0.6188773907113133,-0.017203442821524036,-0.002441046115711943,-0.011801492072888444,0.006416349809885932,58,19,0.00038371882621945333,WSJ,0.05485232067510549,-0.47540983606557374,0.4117647058823529,0.5302621567406792,-0.35691238520724744,0.5364238410596026,0.5666666666666667,1.0,0.00978422294050843,0.010919891674674588,0.011269328208264174,0.0001747182667947934,0.0013103870009609504,0.8999999999999998,0.6,2.0,-1.0,-0.6174636834812827,False,0.7656022726562147,3,1.5808786445434932,3,30,no blame,interest rate policy,not_applicable,neutral,routine_adjustment,openai_gpt4omini|anthropic_sonnet|gemini_flash,3,0.4136908283814289,0.45996686071334175,0.5868193646819119,0.36825853238694867,"[('crisis', 18), ('risk', 7), ('risks', 6), ('collapse', 2), ('fail', 2)]","[('may', 22), ('could', 14), ('volatility', 11), ('likely', 9), ('believe', 7)]","[('panic', 8), ('risk', 6), ('losses', 3), ('failure', 2), ('crisis', 2)]","[('may', 7), ('could', 2), ('perhaps', 1)]","[('losses', 3), ('risk', 1), ('crisis', 1)]",
fomc_jumbo_cut_sep24,The Jumbo Cut,Validation,2024-09-18 00:00:00+00:00,Validation event for prior soft-landing beliefs.,628,0.6131412439958289,0.6661987408678507,298,0.4745222929936306,0.619815485131447,0.5985672001361102,0.0014633575275111216,0.0038022813688212928,0.013736263736263736,0.003336455162725357,0.011406844106463879,0.005494505494505495,0.4634154724041933,0.4496968318906116,0.4534863333383892,0.47347095481198276,0.4408325322360976,0.458495982065304,0.013718640513581681,0.5365845275958068,0.5503031681093884,-0.0023389238413101714,-0.008070388943738523,-0.012272906208752614,-0.002158050331780138,40,22,0.008658804909280855,WSJ,0.06086956521739131,-0.1111111111111111,-0.14285714285714285,0.17198067632850242,0.20372670807453416,0.592814371257485,0.5,0.5,0.007011165930927032,0.007920020773824981,0.006881329524798753,0.0013632822643469228,0.001817709685795897,0.6,0.6,3.0,3.0,-0.9422492372634081,False,1.053316158228566,3,1.4690640517597167,3,30,no blame,unknown,not_applicable,neutral,routine_adjustment,openai_gpt4omini|anthropic_sonnet|gemini_flash,3,0.4945912174508201,0.38670334859916755,0.631211500813772,0.6266084381544745,"[('crash', 6), ('crisis', 6), ('risk', 4), ('bankruptcy', 3), ('panic', 2)]","[('could', 23), ('may', 9), ('volatility', 6), ('uncertainty', 4), ('likely', 4)]","[('risk', 3)]","[('might', 3), ('likely', 2), ('could', 1), ('uncertainty', 1), ('unlikely', 1)]","[('risks', 5)]","[('uncertain', 1), ('could', 1)]"
fomc_pivot_dec23,The Pivot,Euphoria,2023-12-13 00:00:00+00:00,Pivot expectations and soft-landing narrative expansion.,384,0.6160719634679599,0.663410574682745,169,0.4401041666666667,0.5845867779312678,0.7137014927614505,0.0007660633917456669,0.0,0.0,0.0033515273388872928,0.0058997050147492625,0.0024154589371980675,0.5231681124592008,0.4052186679490662,0.508401257233289,0.5382116352152561,0.39177702147061894,0.41871224544799857,0.11794944451013462,0.4768318875407992,0.5947813320509339,0.0007660633917456669,-0.0025481776758619697,0.0007660633917456669,0.0009360684016892253,20,11,7.682454306767956e-34,WSJ,0.4397163120567376,1.0,0.0,-0.5602836879432624,0.4397163120567376,0.5384615384615384,0.5,0.5,0.008250652741514361,0.021201044386422976,0.005535248041775457,0.00020887728459530026,0.00020887728459530026,0.49999999999999994,0.09999999999999999,4.0,-2.0,-0.5578951737163291,False,1.5502915314042116,5,0.9927744539849228,2,30,no blame,interest rate policy,not_applicable,neutral,routine_adjustment,openai_gpt4omini|anthropic_sonnet|gemini_flash,3,0.4275412660584928,0.5402120948463855,0.5925109961890184,0.39886815944469173,"[('risks', 3), ('risk', 1), ('crisis', 1), ('collapse', 1), ('losses', 1)]","[('likely', 9), ('volatility', 5), ('uncertainty', 5), ('might', 4), ('could', 3)]",,"[('believe', 1), ('may', 1)]",,"[('may', 1)]"
fomc_rugpull_jan24,The Rug Pull,Disappointment,2024-01-31 00:00:00+00:00,Sentiment shock after lower probability of near-term cuts.,279,0.6562767461658486,0.7204191291881189,186,0.6666666666666666,0.551535555044941,0.6064080133144264,0.0030071419621601303,0.0,0.011834319526627219,0.005763688760806916,0.0,0.005917159763313609,0.4057984696948278,0.4957661173038036,0.39768741259040025,0.41361565213286045,0.4827439392552356,0.508884089143602,-0.0899676476089758,0.5942015303051722,0.5042338826961964,0.0030071419621601303,0.005763688760806916,-0.008827177564467088,-0.00015347100250669328,35,21,1.8677833825651458e-30,Official,0.3473684210526316,0.1724137931034483,-0.16666666666666666,0.17495462794918332,0.5140350877192983,0.42105263157894735,0.6,0.7142857142857143,0.008298755186721992,0.01713291393387766,0.008031053406505154,0.0006692544505420961,0.0005354035604336768,0.6,0.6,4.0,0.0,-0.6765230335675767,False,2.9260777986686,8,1.9352293736410258,4,30,no blame,unknown,not_applicable,neutral,routine_adjustment,openai_gpt4omini|anthropic_sonnet|gemini_flash,3,0.46943383380458364,0.6338065606170494,0.6649322798255505,0.5604800025555045,"[('loss', 12), ('risks', 5), ('risk', 3), ('panic', 2), ('crash', 1)]","[('may', 19), ('likely', 11), ('could', 4), ('seem', 2), ('volatility', 2)]",,,"[('risks', 4)]","[('uncertain', 1), ('could', 1)]"
gme_roaring_kitty_jun24,GME Returns,Viral,2024-06-03 00:00:00+00:00,Viral retail narrative versus institutional skepticism.,1181,0.6765109565759565,0.7559179275951389,19,0.016088060965283656,0.5755916225896389,,0.0005544466622310934,0.0019175455417066154,,0.0018851186515857175,0.00862895493767977,,0.32312502458256254,,0.31668610761484295,0.3291533236227481,,,,0.6768749754174375,,-0.001363098879475522,-0.0067438362860940525,,,49,0,,,0.21100917431192662,0.5,,-0.2889908256880734,,0.6324786324786325,0.0,,0.0027301587301587302,0.004190476190476191,0.004253968253968254,0.00031746031746031746,0.00031746031746031746,-0.7999999999999999,,2.0,2.0,1.0138583744230343,False,2.6602548195942597,7,0.9867867202651465,2,30,no blame,unknown,not_applicable,neutral,unknown,openai_gpt4omini|anthropic_sonnet|gemini_flash,3,0.24783592875957722,,0.4314866835775379,0.16483392332605257,"[('crash', 3), ('risk', 2), ('loss', 1), ('collapse', 1), ('bankruptcy', 1)]","[('may', 6), ('might', 6), ('maybe', 5), ('could', 5), ('likely', 4)]","[('risk', 1), ('crash', 1)]","[('may', 4), ('could', 3), ('likely', 1), ('might', 1)]",,
svb_collapse_mar23,SVB Collapse,Crisis,2023-03-10 00:00:00+00:00,Crisis framing and systemic-risk narrative divergence.,826,0.5980306412117573,0.6711162449514545,0,0.0,0.5805344898831574,0.6098296464097395,0.01051957067335932,0.02037201062887511,0.014970059880239521,0.001815560420782827,0.008857395925597875,0.0,0.49104636746036073,0.42418863543148033,0.4832583787660127,0.4981164721686403,0.416548140116591,0.43089071113724475,0.0668577320288804,0.5089536325396393,0.5758113645685197,-0.00985243995551579,-0.007041835504815048,-0.004450489206880201,0.001815560420782827,58,19,1.400390421485772e-35,WSJ,-0.684931506849315,-0.47540983606557374,0.4117647058823529,-0.2095216707837413,-1.096696212731668,0.5612244897959183,0.5666666666666667,1.0,0.021498485201584712,0.004020041948263808,0.002913073875553484,0.0009904451176881847,0.0003495688650664181,,,,,,False,0.7198975860931724,3,1.58164916397552,3,30,no blame,unknown,not_applicable,anger,institutional_failure,openai_gpt4omini|anthropic_sonnet|gemini_flash,3,0.3899466554316022,0.47534347644020825,0.48965723441513603,0.48967615131701137,"[('collapse', 102), ('failure', 25), ('fail', 18), ('risk', 15), ('crisis', 14)]","[('could', 8), ('might', 4), ('may', 4), ('likely', 4), ('believe', 3)]","[('panic', 8), ('risk', 6), ('losses', 3), ('failure', 2), ('crisis', 2)]","[('may', 7), ('could', 2), ('perhaps', 1)]","[('losses', 3), ('risk', 1), ('crisis', 1)]",
